本地,#genre#
马来西亚,#genre#
8TV (马来西亚),http://cdn6.163189.xyz/163189/8tv
Maah电视台 (马来西亚),https://hls.maahtv.live/hls/stream.m3u8
RTM东盟频道 (马来西亚),https://d25tgymtnqzu8s.cloudfront.net/event/smil:event1/chunklist_b2596000_slENG.m3u8
RTM体育频道 (马来西亚),https://d25tgymtnqzu8s.cloudfront.net/smil:sukan/manifest.mpd
TV1 (马来西亚),https://d25tgymtnqzu8s.cloudfront.net/smil:tv1/manifest.mpd
TV2 (马来西亚),https://d25tgymtnqzu8s.cloudfront.net/smil:tv2/manifest.mpd
国际台,#genre#
Adithya,http://194.147.100.173/jsy/p.php/?id=l_Yxm6JTScyud0wU5Clb7A
Al-Hijrah,http://194.147.100.173/jsy/p.php/?id=O05rcFfwe6woVWbbU1VaUQ
Astro欢喜台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=Huahee
ATV,https://live.zendzend.com/mpegts/29375_107244/media_mpegts_0.m3u8
BBCLifestyle,http://194.147.100.173/jsy/p.php/?id=IXdmh63wxD4-IIf784NMCQ
BBCLifestyle,http://194.147.100.173/jsy/p.php/?id=TeRciBBpvnnAOVI6ckqBdw
Bernama,http://194.147.100.173/jsy/p.php/?id=tEuRWy6njrlHOTL-s6omKA
Bloomberg,https://bloomberg.com/media-manifest/streams/us.m3u8
BTV,https://streamfi-alphadgtl1.zettawiseroutes.com:8181/hls/stream.m3u8
BTV,https://btv.secureswiftcontent.com/han/btv/btv10005/srtoutput/manifest.m3u8
CGTN,http://23.237.228.134/live3/CGTN.m3u8
CGTN,http://194.147.100.173/jsy/p.php/?id=HzdkZ1xVaUoZ4dYIjRy8WQ
CGTN,https://news.cgtn.com/resource/live/english/cgtn-news.m3u8
CGTN,https://amg00405-rakutentv-cgtn-rakuten-i9tar.amagi.tv/master.m3u8
CGTN,https://english-livebkali.cgtn.com/live/encgtn.m3u8
CGTN,http://112.27.235.94:8000/hls/17/index.m3u8
Cinemax,http://194.147.100.173/jsy/p.php/?id=qPr2_IUrG6dFnXXJDQKu6g
Cinemax,http://panelguys.top:8080/txd7Fd/030774/13380
CNA,http://194.147.100.173/jsy/p.php/?id=PYXVAS1GB6B1KSKCrDrRYw
CNA,https://live1.mediadesk.al/cnatvlive.m3u8
CNBC,https://stream.livenewsplay.com:9443/hls/cnbc/cnbcsd.m3u8
CNBC,http://panelguys.top:8080/txd7Fd/030774/9815
CNN,http://194.147.100.173/jsy/p.php/?id=YtMZE_WbIIcTUmbhbu2BqQ
CNN,http://panelguys.top:8080/txd7Fd/030774/104884
CRTV,http://69.64.57.208/crtv/playlist.m3u8
CTV,https://live.ctvbolivia.com/hls/ctv.m3u8
Discovery,http://ott.watch/stream/E9LDH2ZCN7/177.m3u8
Discovery,http://ott.watch/stream/E9LDH2ZCN7/146.m3u8
FoxNews,http://panelguys.top:8080/txd7Fd/030774/1818
France24,http://194.147.100.173/jsy/p.php/?id=_hrKSgUQUDslkxoOBXPKxg
France24,https://amg00106-france24-amg00106c1-plex-us-6491.playouts.now.amagi.tv/1080p/index.m3u8
France24,https://amg00106-france24-amg00106c1-plex-us-6491.playouts.now.amagi.tv/720p/index.m3u8
France24,https://amg00106-france24-amg00106c1-plex-us-6491.playouts.now.amagi.tv/480p/index.m3u8
France24,https://amg00106-france24-amg00106c1-plex-us-6491.playouts.now.amagi.tv/playlist.m3u8
H2,http://panelguys.top:8080/txd7Fd/030774/53692
HBO,http://104.250.145.76/livehttpplay?channel_id=23356
HBO,http://194.147.100.173/jsy/p.php/?id=r9Ve3aGewZZUdJ0IfbQ7JQ
HBO,http://194.147.100.173/jsy/p.php/?id=MIzlvR6DFHnsf7Qusz27CA
HBO,http://194.147.100.173/jsy/p.php/?id=n0gmr-b6qrSL8tsovlvdIg
HBO,http://148.113.160.49:14176
HBO,http://148.113.160.49:14187
History,http://194.147.100.173/jsy/p.php/?id=9maAQaoAwsCF1rCRJQMa-Q
Hits,http://194.147.100.173/jsy/p.php/?id=FHGfWiLRHdT2mtg943DwuA
HOY资讯台_SMT,http://smt.1678520.xyz/smt3.2.3.php?id=hoycaijing_twn
JTV,http://122.248.43.242:1935/JTVSURABAYA/_definst_/myStream/playlist.m3u8
KTV,http://194.147.100.173/jsy/p.php/?id=8fNbT5-IUUIF8D6LCNSG2A
KTV,https://flv.intechmedia.net/live/ch118.m3u8
LSTV,https://livefta.malimarcdn.com/ftaedge00/laostv.sdp/playlist.m3u8
MDTV,https://wahyu1ptv.pages.dev/MDTV-HD.m3u8
NHK,http://61.221.215.25:8800/hls/51/index.m3u8
